"n_total","range","lambda","method","parameter","bias"
25,0.1,1,"GHK","Intercept",-0.0156997615613351
49,0.1,1,"GHK","Intercept",-0.025568823333941
25,0.3,1,"GHK","Intercept",-0.0998292157358074
49,0.3,1,"GHK","Intercept",-0.104961156634528
25,0.5,1,"GHK","Intercept",-0.221336549208307
49,0.5,1,"GHK","Intercept",-0.0908322060624943
25,0.1,5,"GHK","Intercept",-0.0135243368446307
49,0.1,5,"GHK","Intercept",-0.00834337777288584
25,0.3,5,"GHK","Intercept",-0.0472502112608579
49,0.3,5,"GHK","Intercept",-0.0359307080978597
25,0.5,5,"GHK","Intercept",-0.061407109350304
49,0.5,5,"GHK","Intercept",-0.0527259872782042
25,0.1,10,"GHK","Intercept",0.000788072195288549
49,0.1,10,"GHK","Intercept",0.00145967400571411
25,0.3,10,"GHK","Intercept",-0.0143916969640092
49,0.3,10,"GHK","Intercept",-0.0227353586145723
25,0.5,10,"GHK","Intercept",-0.0195224040607445
49,0.5,10,"GHK","Intercept",0.000989627009837792
25,0.1,1,"GQT","Intercept",-0.0164409707531219
49,0.1,1,"GQT","Intercept",-0.0242187715536771
25,0.3,1,"GQT","Intercept",-0.0536405320157214
49,0.3,1,"GQT","Intercept",-0.0332967066663198
25,0.5,1,"GQT","Intercept",0.00214848195698785
49,0.5,1,"GQT","Intercept",0.053909252346169
25,0.1,5,"GQT","Intercept",-0.013217749626591
49,0.1,5,"GQT","Intercept",-0.00857663043343025
25,0.3,5,"GQT","Intercept",-0.0466653853950778
49,0.3,5,"GQT","Intercept",-0.0368970961266276
25,0.5,5,"GQT","Intercept",-0.0599172122207471
49,0.5,5,"GQT","Intercept",-0.0430555840354018
25,0.1,10,"GQT","Intercept",0.000611175883262629
49,0.1,10,"GQT","Intercept",0.000999130707094922
25,0.3,10,"GQT","Intercept",-0.0135141511259297
49,0.3,10,"GQT","Intercept",-0.0224906888555994
25,0.5,10,"GQT","Intercept",-0.0179205067081356
49,0.5,10,"GQT","Intercept",0.00386418253188429
25,0.1,1,"GHK","range",-0.0338784979818136
49,0.1,1,"GHK","range",-0.0378033201821946
25,0.3,1,"GHK","range",-0.0337454047521055
49,0.3,1,"GHK","range",-0.0183187073634881
25,0.5,1,"GHK","range",-0.0285692129559077
49,0.5,1,"GHK","range",-0.0248302862900762
25,0.1,5,"GHK","range",-0.0359856820041196
49,0.1,5,"GHK","range",-0.0493820510445089
25,0.3,5,"GHK","range",0.00802970401709954
49,0.3,5,"GHK","range",-0.0124503448104278
25,0.5,5,"GHK","range",-0.00151238147765656
49,0.5,5,"GHK","range",0.00524798603485135
25,0.1,10,"GHK","range",-0.023675139162181
49,0.1,10,"GHK","range",-0.0495401992630913
25,0.3,10,"GHK","range",-0.0224589315028465
49,0.3,10,"GHK","range",-0.00181615551626959
25,0.5,10,"GHK","range",0.0180105599553132
49,0.5,10,"GHK","range",-0.00116197069133136
25,0.1,1,"GQT","range",0.0170093817664358
49,0.1,1,"GQT","range",0.0193606425162795
25,0.3,1,"GQT","range",0.0579009226035673
49,0.3,1,"GQT","range",0.04722903226175
25,0.5,1,"GQT","range",0.0853612281420827
49,0.5,1,"GQT","range",0.0530988132746302
25,0.1,5,"GQT","range",-0.0313403148744509
49,0.1,5,"GQT","range",-0.052957893313549
25,0.3,5,"GQT","range",0.0179716488829688
49,0.3,5,"GQT","range",-0.00822947603929312
25,0.5,5,"GQT","range",0.00580369577611099
49,0.5,5,"GQT","range",0.00406689390266486
25,0.1,10,"GQT","range",-0.0195802685183321
49,0.1,10,"GQT","range",-0.0489726922521614
25,0.3,10,"GQT","range",-0.0181070526087854
49,0.3,10,"GQT","range",-0.000156022262846667
25,0.5,10,"GQT","range",0.0199914144795198
49,0.5,10,"GQT","range",-0.00210830536861177
