"parameter","true_range","method","MAE_n25","MAE_n49","change_49_minus_25","pct_reduction"
"Intercept",0.1,"GHK",0.11282422808532,0.101002876380716,-0.0118213517046043,9.35905791416526
"Intercept",0.1,"GQT",0.111004457997392,0.0991523976757637,-0.0118520603216279,9.14378975267637
"Intercept",0.3,"GHK",0.199005058050272,0.188552734376409,-0.0104523236738633,6.40882375559782
"Intercept",0.3,"GQT",0.188887702838493,0.175685349903128,-0.0132023529353656,7.28707637655379
"Intercept",0.5,"GHK",0.286006203714025,0.251962826736099,-0.0340433769779257,5.65772221354325
"Intercept",0.5,"GQT",0.228286288872869,0.231846125721407,0.0035598368485377,-1.67367666185315
"range",0.1,"GHK",0.0977638017450987,0.0780235266245893,-0.0197402751205094,20.1406552837119
"range",0.1,"GQT",0.101076391158768,0.0752513053443587,-0.025825085814409,24.9620438454816
"range",0.3,"GHK",0.137951254079958,0.0767036926579152,-0.061247561422043,44.7471813868704
"range",0.3,"GQT",0.135002207230182,0.0745729893328463,-0.0604292178973356,45.0849019804199
"range",0.5,"GHK",0.178948866909457,0.123700980667547,-0.0552478862419104,31.0504200719372
"range",0.5,"GQT",0.17256384552938,0.116888564190531,-0.0556752813388486,32.2990069097614
