"parameter","true_range","lambda","method","MAE_n25","MAE_n49","change_49_minus_25","pct_reduction"
"Intercept",0.1,1,"GHK",0.194287952111732,0.173242534512679,-0.0210454175990529,10.8320754685551
"Intercept",0.1,1,"GQT",0.18962502985129,0.167073591269256,-0.022551438582034,11.8926486654845
"Intercept",0.1,5,"GHK",0.0859971745805037,0.0724398749131822,-0.0135572996673215,15.7648198716462
"Intercept",0.1,5,"GQT",0.0854487762270654,0.0730188214400359,-0.0124299547870295,14.5466738505406
"Intercept",0.1,10,"GHK",0.0581875575637241,0.0573262197162856,-0.000861337847438519,1.48027840229455
"Intercept",0.1,10,"GQT",0.0579395679138193,0.057364780317999,-0.000574787595820275,0.992046742004062
"Intercept",0.3,1,"GHK",0.320701132682227,0.310314731155361,-0.0103864015268663,3.23865445687647
"Intercept",0.3,1,"GQT",0.28888645067205,0.26932684342553,-0.0195596072465203,6.77069042214263
"Intercept",0.3,5,"GHK",0.163135640632032,0.153744653909033,-0.0093909867229994,5.75655122731988
"Intercept",0.3,5,"GQT",0.164487298396492,0.155004876351146,-0.00948242204534527,5.7648354236375
"Intercept",0.3,10,"GHK",0.113178400836556,0.101598818064832,-0.0115795827717244,10.2312655825971
"Intercept",0.3,10,"GQT",0.113289359446939,0.102724329932707,-0.0105650295142312,9.32570328388124
"Intercept",0.5,1,"GHK",0.519605365459907,0.412859100797254,-0.106746264662653,20.5437187062476
"Intercept",0.5,1,"GQT",0.345826984968823,0.354990651696573,0.00916366672774999,-2.6497835987484
"Intercept",0.5,5,"GHK",0.203927332324271,0.203381826614114,-0.000545505710156408,0.267500047168264
"Intercept",0.5,5,"GQT",0.205346815070183,0.200606822182256,-0.00473999288792692,2.30828653773223
"Intercept",0.5,10,"GHK",0.134485913357897,0.13964755279693,0.00516163943903242,-3.83805211278607
"Intercept",0.5,10,"GQT",0.133685066579601,0.139940903285391,0.00625583670579002,-4.67953292454326
"range",0.1,1,"GHK",0.0971687325928767,0.0792418036610061,-0.0179269289318707,18.4492773071169
"range",0.1,1,"GQT",0.108480280061627,0.0639245835891733,-0.0445556964724541,41.0726230123503
"range",0.1,5,"GHK",0.101007349070648,0.0774967061425119,-0.0235106429281361,23.2761706395165
"range",0.1,5,"GQT",0.0999982825376926,0.0832091232604421,-0.0167891592772506,16.7894476296852
"range",0.1,10,"GHK",0.0951153235717715,0.0773320700702499,-0.0177832535015215,18.6965179045023
"range",0.1,10,"GQT",0.0947506108769832,0.0786202091834607,-0.0161304016935225,17.0240608944093
"range",0.3,1,"GHK",0.163245129433928,0.0997088532472727,-0.0635362761866556,38.9207790805001
"range",0.3,1,"GQT",0.159622383353616,0.0969897587657749,-0.0626326245878413,39.2379961205625
"range",0.3,5,"GHK",0.119202099799183,0.0698654285597846,-0.0493366712393982,41.3890957646842
"range",0.3,5,"GQT",0.115492706058266,0.0668651378720621,-0.0486275681862035,42.1044495759508
"range",0.3,10,"GHK",0.131406533006764,0.0605367961666883,-0.0708697368400753,53.9316693154271
"range",0.3,10,"GQT",0.129891532278664,0.0598640713607019,-0.0700274609179621,53.9122602447464
"range",0.5,1,"GHK",0.220716350221653,0.155528465335103,-0.0651878848865507,29.5346877660337
"range",0.5,1,"GQT",0.207688703822962,0.141192642580751,-0.0664960612422116,32.0171776404816
"range",0.5,5,"GHK",0.1580741741495,0.106405458011505,-0.0516687161379941,32.6863742391772
"range",0.5,5,"GQT",0.153462002189363,0.101939834400618,-0.0515221677887456,33.5732409676046
"range",0.5,10,"GHK",0.158056076357219,0.109169018656032,-0.0488870577011864,30.9301982106009
"range",0.5,10,"GQT",0.156540830575814,0.107533215590226,-0.0490076149855887,31.3066021211978
