"missing_rate","parameter","bias.GHK","bias.GQT"
0,"Intercept",-0.0183378676207904,-0.0183622163362972
0.1,"Intercept",-0.0234657400379401,-0.0225216738090506
0.2,"Intercept",-0.0200159078669203,-0.0202431158509256
0.3,"Intercept",-0.0133494889320637,-0.0140499670641266
0.5,"Intercept",-0.0230990812886151,-0.0209013041540966
0,"range",-0.0023186335574585,0.00192444111400328
0.1,"range",-0.00571638328587852,-0.000139044753128718
0.2,"range",-0.00184944463625864,0.00190363826302421
0.3,"range",-0.00544829979422912,-1.84463899688843e-05
0.5,"range",-0.00524827076216743,-0.000434764553299465
